Country,GDP
Afghanistan,19199437988.8023
Angola,102643104696.208
Albania,11455595709.1413
Arab World,2530101503617
United Arab Emirates,370292716133.424
Argentina,583168571071.407
Armenia,10561401185.098
Antigua and Barbuda,1297285370.37037
Australia,1339539063150.01
Austria,374055872241.322
Azerbaijan,53047140347.4527
Burundi,3085184836.89126
Belgium,454039037373.849
Benin,8476125180.59445
Burkina Faso,11099473096.8345
Bangladesh,195078665827.565
Bulgaria,48952959079.5738
Bahrain,32221489361.7021
"Bahamas, The",8884441432.05624
Bosnia and Herzegovina,15995392117.9473
Belarus,54608962634.9908
Belize,1763000000
Bolivia,33196819571.6353
Brazil,1774724818900.48
Barbados,4451000000
Brunei Darussalam,15492035784.4207
Bhutan,1962221695.69413
Botswana,14390863395.3171
Central African Republic,1503299943.61311
Canada,1550536520141.93
Central Europe and the Baltics,1273220514555.24
Switzerland,664737543616.5
Chile,240215707927.037
China,10866443998394.2
Cote d'Ivoire,31752543539.2202
Cameroon,29198372811.2037
"Congo, Rep.",8553154505.83585
Colombia,292080155633.31
Cabo Verde,1629759975.07703
Costa Rica,51106697023.7464
Caribbean small states,70876623388.2007
Cyprus,19319729400.0222
Czech Republic,181811026983.078
Germany,3355772429854.72
Dominica,537777777.777778
Denmark,295164313328.842
Dominican Republic,67103263863.3943
Algeria,166838617796.555
Ecuador,100871770000
"Egypt, Arab Rep.",330778550716.746
Spain,1199057336142.84
Estonia,22691482754.7965
Ethiopia,61537143095.3874
Finland,229810358212.266
Fiji,4386008744.53467
France,2421682377730.95
Gabon,14339723934.6724
United Kingdom,2848755449421.34
Georgia,13965385801.7891
Ghana,37864368219.9169
Guinea,6699203543.29047
Guinea-Bissau,1056851007.567
Equatorial Guinea,9397792253.2693
Greece,195212006432.295
Grenada,978148148.148148
Guatemala,63794348774.6251
Guyana,3166029055.69007
"Hong Kong SAR, China",309928790732.475
Honduras,20152043003.4425
Croatia,48732003674.38
Haiti,8877465911.26736
Hungary,120687138088.121
Indonesia,861933968740.332
India,2073542978208.77
Ireland,238020405899.967
Iraq,168606686710.642
Iceland,16598494830.9142
Israel,296075434804.981
Italy,1814762858045.91
Jamaica,14005654598.9598
Jordan,37517410299.2739
Japan,4123257609614.74
Kazakhstan,184360630555.504
Kenya,63398041540.367
Kyrgyz Republic,6571853849.00585
Cambodia,18049954289.4301
Kiribati,145237022.01187
St. Kitts and Nevis,921888851.851852
"Korea, Rep.",1377873107856.33
Kosovo,6385937673.2838
Kuwait,112811565304.088
Lao PDR,12327488340.7341
Lebanon,47102873631.8408
Liberia,2053000000
Libya,29152707344.7142
St. Lucia,1436390325.92593
Sri Lanka,82316172384.325
Lithuania,41243983586.5587
Luxembourg,57793612066.0974
Latvia,27035266718.4208
"Macao SAR, China",46177532874.139
Morocco,100359546357.65
Moldova,6551161404.09357
Madagascar,9980522718.48012
Maldives,3142812004.19099
Mexico,1144331343172.45
"Macedonia, FYR",10086021260.9944
Mali,13100263697.0551
Myanmar,64865515159.2277
Montenegro,3992640233.17019
Mongolia,11757940908.6277
Mozambique,14688606237.729
Mauritius,11510952257.3431
Malawi,6565382258.60153
Malaysia,296217641787.223
Namibia,11546088223.2118
Niger,7142951342.4223
Nigeria,481066152870.266
Nicaragua,12692562187.4933
Netherlands,752547410446.934
Norway,388314890978.609
Nepal,20880545907.4264
New Zealand,173754075210.516
Oman,70254876462.9389
Pakistan,269971498118.442
Panama,52132289700
Peru,192083721355.064
Philippines,291965336390.95
Palau,287400000
Poland,474783393022.947
Portugal,198931394033.492
Paraguay,27622778722.3986
Qatar,166907692307.692
Romania,177954489851.961
Russian Federation,1326015096948.19
Rwanda,8095980013.73418
South Asia,2666094332135.22
Saudi Arabia,646001866666.667
Sudan,84066770983.3333
Senegal,13779570705.7552
Singapore,292739307535.642
Solomon Islands,1156834750.5275
Sierra Leone,4474689705.76783
El Salvador,25850200000
Somalia,5953000000
Serbia,36513027127.6723
South Sudan,9015221096.24474
Suriname,4877888603.80651
Slovak Republic,86581789952.3123
Slovenia,42746980843.0904
Sweden,492618068568.573
Swaziland,4060072443.54921
Seychelles,1437722206.38754
Chad,10888798113.7866
Togo,4002723816.65721
Thailand,395281580952.881
Tajikistan,7853450374.0001
Turkmenistan,37334232257.1429
Timor-Leste,1412377919.12175
Trinidad and Tobago,27805745960.6511
Tunisia,43015089722.6754
Turkey,718221078308.824
Tanzania,44895392076.5118
Uganda,26369242278.1637
Ukraine,90615023323.7353
Uruguay,53442697567.8844
United States,17946996000000
Uzbekistan,66732801392.6618
St. Vincent and the Grenadines,751373262.962963
Vietnam,193599379094.859
West Bank and Gaza,12677400000
Samoa,761037916.35753
South Africa,312797576593.594
"Congo, Dem. Rep.",35237742278.1367
Zambia,21201564248.3879
Zimbabwe,13892940503.5829